15	10	E	-6105679.360600595	125
emissionprobs	4	2	H3k27me3	1	3.5058026259560305E-4
emissionprobs	4	3	H3k36me3	0	1.0
emissionprobs	4	3	H3k36me3	1	0.0
emissionprobs	4	4	H3k4me2	0	0.9943443387425503
emissionprobs	4	4	H3k4me2	1	0.005655661257449623
emissionprobs	4	5	H3k4me3	0	0.9997495107633588
emissionprobs	4	5	H3k4me3	1	2.5048923664118604E-4
emissionprobs	4	6	H3k9ac	0	1.0
emissionprobs	4	6	H3k9ac	1	0.0
emissionprobs	4	7	H3k9me1	0	0.9896312316207038
emissionprobs	4	7	H3k9me1	1	0.010368768379296275
emissionprobs	4	8	H4k20me1	0	0.972600491619819
emissionprobs	4	8	H4k20me1	1	0.027399508380181042
emissionprobs	4	9	Pol2b	0	0.6867467055215094
emissionprobs	4	9	Pol2b	1	0.31325329447849065
emissionprobs	5	0	Ctc	0	0.9933338094324711
emissionprobs	5	0	Ctc	1	0.006666190567528942
emissionprobs	5	1	H3k27ac	0	0.9961586327445318
emissionprobs	5	1	H3k27ac	1	0.003841367255468298
emissionprobs	5	2	H3k27me3	0	0.9994435117724654
emissionprobs	5	2	H3k27me3	1	5.564882275346333E-4
emissionprobs	5	3	H3k36me3	0	1.0
emissionprobs	5	3	H3k36me3	1	0.0
emissionprobs	5	4	H3k4me2	0	0.9995383582815274
emissionprobs	5	4	H3k4me2	1	4.6164171847260714E-4
emissionprobs	5	5	H3k4me3	0	0.9998723309730032
emissionprobs	5	5	H3k4me3	1	1.2766902699676576E-4
emissionprobs	5	6	H3k9ac	0	1.0
emissionprobs	5	6	H3k9ac	1	0.0
emissionprobs	5	7	H3k9me1	0	0.9954511807934124
emissionprobs	5	7	H3k9me1	1	0.004548819206587569
emissionprobs	5	8	H4k20me1	0	0.9966048298861957
emissionprobs	5	8	H4k20me1	1	0.0033951701138042025
emissionprobs	5	9	Pol2b	0	0.9647293623877774
emissionprobs	5	9	Pol2b	1	0.03527063761222265
emissionprobs	6	0	Ctc	0	0.9969323561181719
emissionprobs	6	0	Ctc	1	0.003067643881828121
emissionprobs	6	1	H3k27ac	0	0.9992886304595764
emissionprobs	6	1	H3k27ac	1	7.113695404236362E-4
emissionprobs	6	2	H3k27me3	0	0.9951964560427391
emissionprobs	6	2	H3k27me3	1	0.00480354395726083
emissionprobs	6	3	H3k36me3	0	1.0
emissionprobs	6	3	H3k36me3	1	0.0
emissionprobs	6	4	H3k4me2	0	0.9998345042936442
emissionprobs	6	4	H3k4me2	1	1.6549570635584696E-4
emissionprobs	6	5	H3k4me3	0	0.9998958352878534
emissionprobs	6	5	H3k4me3	1	1.0416471214657354E-4
emissionprobs	6	6	H3k9ac	0	1.0
emissionprobs	6	6	H3k9ac	1	0.0
emissionprobs	6	7	H3k9me1	0	0.9993135206833216
emissionprobs	6	7	H3k9me1	1	6.864793166783976E-4
emissionprobs	6	8	H4k20me1	0	0.9993484051267448
emissionprobs	6	8	H4k20me1	1	6.515948732551942E-4
emissionprobs	6	9	Pol2b	0	0.9889309460890422
emissionprobs	6	9	Pol2b	1	0.011069053910957815
emissionprobs	7	0	Ctc	0	0.9886019842239259
emissionprobs	7	0	Ctc	1	0.011398015776074157
emissionprobs	7	1	H3k27ac	0	0.9984108737805983
emissionprobs	7	1	H3k27ac	1	0.0015891262194016051
emissionprobs	7	2	H3k27me3	0	0.6220270028235967
emissionprobs	7	2	H3k27me3	1	0.37797299717640326
emissionprobs	7	3	H3k36me3	0	1.0
emissionprobs	7	3	H3k36me3	1	0.0
emissionprobs	7	4	H3k4me2	0	0.9959985397824033
emissionprobs	7	4	H3k4me2	1	0.004001460217596699
emissionprobs	7	5	H3k4me3	0	0.9994285640567829
emissionprobs	7	5	H3k4me3	1	5.714359432170857E-4
emissionprobs	7	6	H3k9ac	0	1.0
emissionprobs	7	6	H3k9ac	1	0.0
emissionprobs	7	7	H3k9me1	0	0.9968656898560952
emissionprobs	7	7	H3k9me1	1	0.0031343101439047396
emissionprobs	7	8	H4k20me1	0	0.9955242985618221
emissionprobs	7	8	H4k20me1	1	0.004475701438177883
emissionprobs	7	9	Pol2b	0	0.9774734788252043
emissionprobs	7	9	Pol2b	1	0.02252652117479575
emissionprobs	8	0	Ctc	0	0.9435280733143472
emissionprobs	8	0	Ctc	1	0.056471926685652825
emissionprobs	8	1	H3k27ac	0	0.9895936968089928
emissionprobs	8	1	H3k27ac	1	0.010406303191007273
emissionprobs	8	2	H3k27me3	0	0.9991469009424994
emissionprobs	8	2	H3k27me3	1	8.530990575006126E-4
emissionprobs	8	3	H3k36me3	0	1.0
emissionprobs	8	3	H3k36me3	1	0.0
emissionprobs	8	4	H3k4me2	0	0.9742946690677398
emissionprobs	8	4	H3k4me2	1	0.02570533093226018
emissionprobs	8	5	H3k4me3	0	0.49146486719227317
emissionprobs	8	5	H3k4me3	1	0.5085351328077268
emissionprobs	8	6	H3k9ac	0	1.0
emissionprobs	8	6	H3k9ac	1	0.0
emissionprobs	8	7	H3k9me1	0	1.0
emissionprobs	8	7	H3k9me1	1	8.87343769127453E-116
emissionprobs	8	8	H4k20me1	0	1.0
emissionprobs	8	8	H4k20me1	1	1.0959091445805246E-95
emissionprobs	8	9	Pol2b	0	0.9890390562470871
emissionprobs	8	9	Pol2b	1	0.010960943752912844
emissionprobs	9	0	Ctc	0	0.9290329962542352
emissionprobs	9	0	Ctc	1	0.0709670037457648
emissionprobs	9	1	H3k27ac	0	0.2970211334890561
emissionprobs	9	1	H3k27ac	1	0.7029788665109439
emissionprobs	9	2	H3k27me3	0	1.0
emissionprobs	9	2	H3k27me3	1	1.720007362906487E-92
emissionprobs	9	3	H3k36me3	0	1.0
emissionprobs	9	3	H3k36me3	1	0.0
emissionprobs	9	4	H3k4me2	0	0.9793625275839595
emissionprobs	9	4	H3k4me2	1	0.02063747241604057
emissionprobs	9	5	H3k4me3	0	0.08136550871049138
emissionprobs	9	5	H3k4me3	1	0.9186344912895086
emissionprobs	9	6	H3k9ac	0	1.0
emissionprobs	9	6	H3k9ac	1	0.0
emissionprobs	9	7	H3k9me1	0	1.0
emissionprobs	9	7	H3k9me1	1	4.386243304072612E-281
emissionprobs	9	8	H4k20me1	0	1.0
emissionprobs	9	8	H4k20me1	1	3.401251757560423E-66
emissionprobs	9	9	Pol2b	0	0.6972192263971687
emissionprobs	9	9	Pol2b	1	0.30278077360283134
emissionprobs	10	0	Ctc	0	0.9360557045104545
emissionprobs	10	0	Ctc	1	0.0639442954895455
emissionprobs	10	1	H3k27ac	0	0.02754680612679282
emissionprobs	10	1	H3k27ac	1	0.9724531938732072
emissionprobs	10	2	H3k27me3	0	0.9989532027237379
emissionprobs	10	2	H3k27me3	1	0.0010467972762621838
emissionprobs	10	3	H3k36me3	0	1.0
emissionprobs	10	3	H3k36me3	1	0.0
emissionprobs	10	4	H3k4me2	0	9.337602576245093E-17
emissionprobs	10	4	H3k4me2	1	1.0
emissionprobs	10	5	H3k4me3	0	0.0021578094505918695
emissionprobs	10	5	H3k4me3	1	0.997842190549408
emissionprobs	10	6	H3k9ac	0	1.0
emissionprobs	10	6	H3k9ac	1	0.0
emissionprobs	10	7	H3k9me1	0	0.9968912663175356
emissionprobs	10	7	H3k9me1	1	0.003108733682464415
emissionprobs	10	8	H4k20me1	0	0.9770075865662264
emissionprobs	10	8	H4k20me1	1	0.02299241343377362
emissionprobs	10	9	Pol2b	0	0.6715708793923985
emissionprobs	10	9	Pol2b	1	0.3284291206076016
emissionprobs	11	0	Ctc	0	0.9196762145367108
emissionprobs	11	0	Ctc	1	0.08032378546328914
emissionprobs	11	1	H3k27ac	0	0.8852990045156717
emissionprobs	11	1	H3k27ac	1	0.11470099548432837
emissionprobs	11	2	H3k27me3	0	0.9454734611830914
emissionprobs	11	2	H3k27me3	1	0.05452653881690862
emissionprobs	11	3	H3k36me3	0	1.0
emissionprobs	11	3	H3k36me3	1	0.0
emissionprobs	11	4	H3k4me2	0	0.02868681133673468
emissionprobs	11	4	H3k4me2	1	0.9713131886632652
emissionprobs	11	5	H3k4me3	0	0.08655551177778528
emissionprobs	11	5	H3k4me3	1	0.9134444882222147
emissionprobs	11	6	H3k9ac	0	1.0
emissionprobs	11	6	H3k9ac	1	0.0
emissionprobs	11	7	H3k9me1	0	0.9936873228431092
emissionprobs	11	7	H3k9me1	1	0.006312677156890766
emissionprobs	11	8	H4k20me1	0	0.9682666734705563
emissionprobs	11	8	H4k20me1	1	0.03173332652944377
emissionprobs	11	9	Pol2b	0	0.9435066289348527
emissionprobs	11	9	Pol2b	1	0.05649337106514742
emissionprobs	12	0	Ctc	0	0.9722310864395418
emissionprobs	12	0	Ctc	1	0.027768913560458245
emissionprobs	12	1	H3k27ac	0	0.883917437748785
emissionprobs	12	1	H3k27ac	1	0.11608256225121504
emissionprobs	12	2	H3k27me3	0	0.9975700859368432
emissionprobs	12	2	H3k27me3	1	0.0024299140631568335
emissionprobs	12	3	H3k36me3	0	1.0
emissionprobs	12	3	H3k36me3	1	0.0
emissionprobs	12	4	H3k4me2	0	0.29478401978502883
emissionprobs	12	4	H3k4me2	1	0.7052159802149711
emissionprobs	12	5	H3k4me3	0	0.9916906191322561
emissionprobs	12	5	H3k4me3	1	0.008309380867743915
emissionprobs	12	6	H3k9ac	0	1.0
emissionprobs	12	6	H3k9ac	1	0.0
emissionprobs	12	7	H3k9me1	0	0.9840973701706298
emissionprobs	12	7	H3k9me1	1	0.015902629829370143
emissionprobs	12	8	H4k20me1	0	0.964903754960781
emissionprobs	12	8	H4k20me1	1	0.03509624503921912
emissionprobs	12	9	Pol2b	0	0.9225313843739916
emissionprobs	12	9	Pol2b	1	0.07746861562600843
emissionprobs	13	0	Ctc	0	0.9624506689407063
emissionprobs	13	0	Ctc	1	0.03754933105929367
emissionprobs	13	1	H3k27ac	0	0.05802469316899837
emissionprobs	13	1	H3k27ac	1	0.9419753068310016
emissionprobs	13	2	H3k27me3	0	0.9999433992143586
emissionprobs	13	2	H3k27me3	1	5.66007856413646E-5
emissionprobs	13	3	H3k36me3	0	1.0
emissionprobs	13	3	H3k36me3	1	0.0
emissionprobs	13	4	H3k4me2	0	0.008533067265730282
emissionprobs	13	4	H3k4me2	1	0.9914669327342697
emissionprobs	13	5	H3k4me3	0	0.904424070510798
emissionprobs	13	5	H3k4me3	1	0.09557592948920202
emissionprobs	13	6	H3k9ac	0	1.0
emissionprobs	13	6	H3k9ac	1	0.0
emissionprobs	13	7	H3k9me1	0	0.9913089226167173
emissionprobs	13	7	H3k9me1	1	0.008691077383282689
emissionprobs	13	8	H4k20me1	0	0.9950072104103341
emissionprobs	13	8	H4k20me1	1	0.004992789589665957
emissionprobs	13	9	Pol2b	0	0.8856121586925395
emissionprobs	13	9	Pol2b	1	0.11438784130746044
emissionprobs	14	0	Ctc	0	0.9362880204204578
emissionprobs	14	0	Ctc	1	0.0637119795795422
emissionprobs	14	1	H3k27ac	0	0.08669462101403472
emissionprobs	14	1	H3k27ac	1	0.9133053789859653
emissionprobs	14	2	H3k27me3	0	0.9999765301932163
emissionprobs	14	2	H3k27me3	1	2.3469806783737814E-5
emissionprobs	14	3	H3k36me3	0	1.0
emissionprobs	14	3	H3k36me3	1	0.0
emissionprobs	14	4	H3k4me2	0	0.143486054535969
emissionprobs	14	4	H3k4me2	1	0.856513945464031
emissionprobs	14	5	H3k4me3	0	0.7441706779511532
emissionprobs	14	5	H3k4me3	1	0.2558293220488469
emissionprobs	14	6	H3k9ac	0	1.0
emissionprobs	14	6	H3k9ac	1	0.0
emissionprobs	14	7	H3k9me1	0	0.98800522880238
emissionprobs	14	7	H3k9me1	1	0.011994771197620031
emissionprobs	14	8	H4k20me1	0	0.9636093952132487
emissionprobs	14	8	H4k20me1	1	0.036390604786751275
emissionprobs	14	9	Pol2b	0	0.18310699225824728
emissionprobs	14	9	Pol2b	1	0.8168930077417527
emissionprobs	15	0	Ctc	0	0.9745089303868152
emissionprobs	15	0	Ctc	1	0.02549106961318495
emissionprobs	15	1	H3k27ac	0	0.36415431280159916
emissionprobs	15	1	H3k27ac	1	0.635845687198401
emissionprobs	15	2	H3k27me3	0	0.9998466740779217
emissionprobs	15	2	H3k27me3	1	1.5332592207837747E-4
emissionprobs	15	3	H3k36me3	0	1.0
emissionprobs	15	3	H3k36me3	1	0.0
emissionprobs	15	4	H3k4me2	0	0.9072743229503257
emissionprobs	15	4	H3k4me2	1	0.09272567704967417
emissionprobs	15	5	H3k4me3	0	0.9995910565996021
emissionprobs	15	5	H3k4me3	1	4.0894340039783895E-4
emissionprobs	15	6	H3k9ac	0	1.0
emissionprobs	15	6	H3k9ac	1	0.0
emissionprobs	15	7	H3k9me1	0	0.9946929207116179
emissionprobs	15	7	H3k9me1	1	0.005307079288382173
emissionprobs	15	8	H4k20me1	0	0.997971177773933
emissionprobs	15	8	H4k20me1	1	0.002028822226067129
emissionprobs	15	9	Pol2b	0	0.9295322467929591
emissionprobs	15	9	Pol2b	1	0.07046775320704095
